path,revenue_y7,revenue_y7_ex_b2b,net_profit_y7,cum_profit_y7,peak_funding,peak_funding_month,breakeven_month,breakeven_year,paying_y7,holders_y7,ics_cost_y7,tiered_share_y7,gold_y7,b2b_partners_y7,any_margin_call,total_called_share,draw_float_buffer_days,draw_persistency,draw_agent_productivity,draw_cac_uae,draw_cac_gulf,draw_cac_india,draw_cac_uae_y7,draw_cac_gulf_y7,draw_cac_india_y7,draw_referral_rate,draw_referral_conversion,draw_organic_share,draw_seasonality_amplitude,draw_self_custody_rate,draw_redemption_rate,draw_holder_redemption_mult,draw_spot_attach_mult,draw_spot_ticket_mult,draw_spot_frequency,draw_pm_share,draw_facility_takeup,draw_txn_per_draw,draw_foreign_spend_mean,draw_reissue_rate,draw_replacement_rate,draw_atm_share_1,draw_atm_share_2,draw_atm_share_3,draw_atm_share_4,draw_atm_mid_1,draw_atm_mid_2,draw_atm_mid_3,draw_atm_mid_4,draw_drawn_pct,draw_facility_turnover,draw_draws_per_year,draw_family_attach,draw_family_cancel,draw_beneficiaries,draw_b2b_fee,draw_partner_users,draw_partner_adopt,draw_partner_aum_user,draw_ticket_uae,draw_ticket_gulf,draw_ticket_india,draw_vault_fee,draw_vault_min_daily,draw_vara_supervision_aed,draw_vara_application_aed,draw_kyc_per_check,draw_capital_activities_aed,draw_insurance,draw_audit,draw_tech_audit,draw_launch_audit,draw_agent_commission,draw_referral_reward,draw_card_platform_fee,draw_card_setup,draw_card_per_card,draw_card_per_auth,draw_card_fraud,draw_xborder_fee,draw_uae_spend_abroad,draw_prefund_days,draw_prefund_min,draw_tech_build_y1,draw_tech_build_y2,draw_tech_maint,draw_contingency,draw_kyc_monthly_min,draw_ceiling_mult,draw_cac_conv_coef,draw_monthly_churn,draw_partner_aum,draw_family_churn_monthly
0,3387816.7662134534,3056598.6425565113,-367125.39223139535,-2259884.5873841713,4050857.119074597,84,999,99,98050.0,82990.0,308168.67899444595,0.5383340698188246,226.90889824243771,3.0,False,0.0,11.506553767683393,0.6404614504504069,5.6243495057062765,70.24619160676237,61.77493199096861,18.76499748588749,53.68659755010306,58.51972592845391,12.883468536036586,0.7137691756479494,0.5929778111219871,0.33593202670534095,1.19140914830274,0.04995512466382876,0.07994715765520632,2.115803708111015,1.0992373108702629,1.0929591928693259,1.3665573189743263,0.6102476550096332,0.17515059022288437,3.6965803519712415,0.2810114895254622,0.08904872256009447,0.1098294152204213,0.5644434196488977,0.28181281917392675,0.07945115935795506,0.02995984388630804,244.36805475971337,1011.809048494219,2242.215669474132,3977.027897440635,0.44161223722367343,0.430422265377693,2.20195658617141,0.09759148218430891,0.33623073113984814,2.659659097593009,0.008025768686867607,772363.4567966552,0.04452638052343565,400.0065364399205,35.96170115643447,26.55225885637301,32.959079019063616,0.0021098257901593083,20.905584758502954,277156.41518148244,160799.2475742442,1.5446171372451765,262276.8730871563,28714.563621102963,18372.466119852423,15210.112850393949,43918.40559418257,0.07583255847676085,0.2637930080062442,28754.572500632654,38301.08084880446,5.188550185828623,0.027500729174899412,0.0015276013438163926,0.013365031854729686,0.16263533354240858,1.7541937853709553,85714.59075207883,275027.7526906386,124575.40231849301,106829.59892791012,0.1471494042899106,285.3637424070606,1.1394892980071198,0.4252267891647765,0.036449643972108925,13756444.463648157,0.06880097765061943
1,4596687.118076467,3406687.2073993576,716614.8750036374,-642323.3587267996,3641211.568562614,49,999,99,93920.0,76940.0,315553.2883191111,0.5308439658199696,279.78842223652475,9.0,False,0.0,9.266935892302556,0.6409858724386729,4.051319801306459,76.60282369627151,84.08033044898741,14.27061836712505,55.204950548980335,48.85517037854278,11.23632808788134,0.6917615200661268,0.5846650266795215,0.26530696315631985,1.0596477589213178,0.09291369146932278,0.05295035388153077,1.7784398582530736,1.1832349678622656,0.8821469662292657,1.7195963855058687,0.6691417676943385,0.18567552444016555,3.2199657418843923,0.3445413683251314,0.050077372347243715,0.08483794864430048,0.6716666144822593,0.23707332043691282,0.1307592793802957,0.03300133680541375,251.70246444785323,987.0383647802854,2199.3377648235814,4199.067865359396,0.3875607620382677,0.3645782154081684,2.6993868103360152,0.15660965406740468,0.26243423057911,3.0374348576797834,0.007734197998033885,777253.777833041,0.060775794191475906,361.9058881497533,32.3460273457599,24.84370775817726,31.99742813750632,0.0021834504562224,19.623122122371754,542028.3859293594,113171.75686611814,1.7675951612272465,1026963.858721511,59612.34611794012,26234.35042195957,16273.531646855408,38997.2147868507,0.12117447460912947,0.3077727359776311,48297.80136901607,38370.06561858991,3.9946095422379804,0.028238229530513248,0.0005144244985741565,0.013476622417373185,0.12078874375161158,2.19677011224693,76521.35806056784,494378.48274826363,114671.10300024645,157214.23641309864,0.1487677639983199,254.25864024794538,1.2700234156936467,0.4372740928155634,0.03638392085759945,17095788.38440248,0.060520226943769684
2,5587227.624104612,3630364.8773796456,1395333.20848518,1309784.0174935253,3210509.2126896316,49,74,7,106730.0,103130.0,330657.83156921424,0.5235871533403221,163.8271545526432,12.0,False,0.0,16.335345457564344,0.5737363111079531,7.282358537788638,70.1946444054008,70.0376624568295,15.600093040623477,48.72021678003108,53.12303695333861,7.240888440745519,0.8354744562349309,0.5882611922000158,0.3228547110341814,0.6572757729456379,0.1066347581811556,0.08466540608528073,1.3496451186278975,1.0443862722554784,0.8709687022002366,1.695345142656,0.48991875742682484,0.2029515614429502,3.622810969654528,0.3481290955324289,0.09024835285241642,0.08802079635814294,0.6879193835937021,0.2652075223409292,0.12622824212118924,0.03525901350690439,215.50530781145127,968.5365929695333,2251.050179373805,3876.8671402478367,0.575232147809742,0.3878359617334464,1.527936025927005,0.1046064071904802,0.2859047669484124,1.9555187290512557,0.006304569851103518,1074093.0977918794,0.06165969969447186,390.55331431865204,30.746667788791193,28.652507395030934,30.117121632451102,0.0011856289187543326,19.01768502663984,380222.618884688,140223.573673996,1.7967431553119333,924401.4982461734,36485.5745371602,30287.559619765696,20699.83988362807,60813.69156973609,0.0918512205084171,0.2953025470584365,45382.83637061952,55455.0131737441,6.660780403517275,0.03218452570051619,0.0009665414949293989,0.012888043392706328,0.12242155666823085,1.4696765924699617,115344.18816920668,324152.80482701823,138519.91104445248,140294.05701917812,0.2311694562512537,228.71787398666797,1.2983516138944347,0.5090512327626167,0.045243343937908964,25865665.60633325,0.071662902187978
3,7882036.3625466,3335221.5292845415,3985624.4823054313,7061310.054395662,2785421.660477416,37,63,6,95930.0,85990.0,334367.91253654845,0.5493073878627969,442.8894574324892,15.0,False,0.0,8.736337132423275,0.6594792619581697,7.726368557690098,98.04515343907302,86.90689252364771,11.007208338878996,77.12777357909414,56.42371505157694,7.314503150058847,0.6823530429656867,0.5842925375386923,0.24547178437181794,0.7271481544601621,0.06277147045184,0.07233067182748196,1.8328187358264953,0.6496270802528182,0.8356054966343778,2.089001041700881,0.5826155862213596,0.17591221507529062,4.805905702184443,0.33997832703988184,0.06227681042414101,0.08899474419285028,0.5472191442215486,0.24595008175534638,0.11517007794609857,0.05552353992010131,287.31772583353984,942.3382956037499,2258.696863293258,3940.4247811820924,0.4415022978353503,0.38444705833794046,2.793467228960072,0.13240247713933262,0.26360105877127626,2.528636164365535,0.008097961435569491,917466.6887222748,0.08622428838227983,473.1734641985272,33.6587983147798,29.180460683860982,27.273366611125436,0.0012419126547992905,21.22332549114213,431253.6531303036,158266.53700847912,1.7646304095369683,398620.7803257491,46477.58270968093,45811.351670055694,13357.323792667834,41991.130355988,0.13235981107967082,0.2528520946771158,35343.74341137509,73865.48778523042,5.413120914999384,0.03276212772595045,0.0012779464238020732,0.01392060791793645,0.1552798066934277,1.4547729642843592,82845.09552054142,375347.59082269465,147358.48058107798,131733.254872024,0.15356247253091826,287.71961019113814,1.107282755858539,0.1973217158088285,0.03409719203238126,37431764.9319381,0.05841501395709714
4,3526779.4418569757,2357949.235560222,383384.06004355085,-953753.8559181388,3122394.1945018084,62,999,99,68070.0,67650.0,232761.24875606416,0.5291777188328912,292.9308734725339,11.0,False,0.0,14.783045778730555,0.5636774076825747,4.933501377985739,101.65906508713016,78.36065606504566,19.04562271346052,74.47252366466648,48.60218965720152,9.355416194307484,0.5105553063656846,0.711745697574762,0.2852139392642524,0.9476851965200672,0.11156296211957077,0.09056070707638861,1.514405739412393,0.7201391680175001,1.125842535485976,1.8231135992174736,0.5970992797044274,0.15212569370127527,4.196442507047902,0.3208479787667116,0.06582439687310095,0.1350845168490048,0.5868727331753528,0.2198485051266152,0.08451254114907332,0.022021609199695775,221.07313148777754,1025.2548325410428,2299.957584738505,3747.3348764152884,0.47382941818415397,0.4085450466077524,1.5621804470016174,0.1769395521534211,0.2449084696954545,2.1212868145938732,0.006935478248595167,1177404.650692842,0.03362040894157695,387.03798398552647,32.12237125821614,26.24376112998769,29.477741634145854,0.0009513611400934754,31.79305282089577,334103.41636086453,134075.94026837352,1.8408698563657606,981521.3930027527,68496.47184001718,37293.406010378836,11780.129354895551,33983.21058923505,0.12937493517524512,0.26981855273102334,25867.613619955173,46609.810632797344,3.6064157094979343,0.026559142771202544,0.0006630036867543035,0.013638047835008493,0.09756442784212413,1.967254698503532,141215.2348061055,416320.4489131825,197096.3215404875,127018.16366158158,0.10219645890412149,291.95643770635,0.7807523569306895,0.38818885248847756,0.046649601631210014,15320831.191857066,0.06870804288564647
5,4152680.565449385,3373673.6877972144,388923.1502963989,-333080.09194014454,2514441.567571207,37,999,99,90490.0,82500.0,288011.1580156017,0.5270824903173594,195.1307333392327,4.0,False,0.0,13.342798392370122,0.6006730750536188,5.58434085826351,93.28556285556184,92.68590812420706,17.990670414958302,57.448928428510854,52.25416881119731,8.545969323237905,0.5863670689873656,0.6448402504590325,0.3373074142856869,0.8973092202054819,0.08794758821550328,0.05489485899419088,1.7382196415669582,0.6688280694448748,0.8296710504471156,1.6709144102590563,0.7046955308247809,0.22555223857166612,3.8377561807120686,0.32040522566067065,0.0531827973766075,0.09896437137945842,0.58723813788508,0.24158103459952154,0.1610450208292365,0.0300089676293444,247.454553418957,948.434886020015,2263.8862225628704,3907.329623724492,0.409661636018806,0.4163964197925243,2.341608312512798,0.1701798871642286,0.29630648266098136,1.9539005561840979,0.008523431809922669,885673.9871258052,0.08211713136374812,314.16597697178025,28.661603463683853,29.099686816677288,30.44640420369629,0.001871607024719985,21.016125685607328,463021.01110975957,176789.5653865339,1.7724912440695544,200282.35832356682,46517.32357963995,18185.342905893598,17278.516489633963,48253.004434327275,0.09554892298512555,0.3547257846691582,48885.56267237788,83169.48429801252,5.129158795034097,0.02687004186881031,0.0007743051011875164,0.013526475897033229,0.12360840983078238,2.295379139837844,55075.89336350409,333774.24600432394,144427.10150365697,163630.40853783887,0.15938799714024837,274.64907872978483,1.1180128531381044,0.391044046635893,0.041585930688298633,22848979.584293716,0.06924550355911396
6,4144137.582806057,3595826.740677583,272345.2897387732,-2208661.940868147,4001294.575923033,73,999,99,101570.0,94030.0,381587.57774948556,0.519120654396728,306.8862015314253,6.0,False,0.0,7.359429150358389,0.5830779421710939,7.527418170017123,84.08567582693848,59.070992992492535,21.233194973584595,66.7747204456719,55.64116675115537,7.1620928274983635,0.763505046294076,0.6623016285974561,0.21951163538225527,0.8237936096920371,0.06204337332469269,0.07402023046770162,1.4638491736172776,1.0651730299394309,1.036857519558151,1.756914249772663,0.6372252069537809,0.15962183945356812,4.638674647849195,0.3202691896633823,0.06575309292187018,0.10739413227342245,0.5550354425812202,0.2616325099921331,0.08956327715039014,0.029797491436030464,259.23880006472655,993.5247139020846,2269.8112632623183,3892.817713533502,0.5031360405517807,0.4024003514826477,2.8498971453222444,0.13331130178555223,0.20720321261842312,2.711100327639515,0.006298044412810018,603827.9327299185,0.0647804450624416,370.9477468567543,35.13466094256139,25.088708085682683,30.023961852011823,0.0008076812471509058,53.60483036856284,379572.7994315831,160813.2788939647,1.8475922502766366,827104.7988963034,59576.469872736074,39704.22590314582,9268.14753781346,40313.28579414678,0.09283357362701782,0.32895502212096084,41219.74684659578,49070.06856223737,4.739838785528577,0.03144074597287384,0.000669426704054693,0.01299547645422159,0.07767940574638002,2.4018937053832636,128061.41484553338,335906.9718295446,197318.55960290483,146350.83343833132,0.1060770455453312,254.71224780695695,1.2450909001325468,0.3422046286607018,0.043957458555458406,14510081.91826517,0.06227813817305661
7,3682206.6151761985,2934114.0241170162,83927.6682227857,-2206895.456185419,3913314.7209775466,77,999,99,77130.0,69170.0,282213.186297333,0.5501708817498291,150.3986981666848,6.0,False,0.0,11.09711065495847,0.6529697587260426,5.571010302563012,99.74167037949951,82.15412952705927,15.60203665467414,58.77291150930794,40.06054004452391,16.092580529944357,0.5300519932900545,0.7115574084785261,0.3195884037571,0.8629447499378284,0.07483441308312666,0.08942033097740995,1.450215513757128,0.8532491692800759,1.1706141732364965,2.05439874710028,0.674963746980473,0.187558661800212,4.425476594058932,0.2926303475561743,0.04663869866855233,0.13149628732088148,0.5198547581078488,0.27055228265963216,0.11068588494204072,0.025802006524932714,238.01596643550926,992.8312468128197,2211.5016881947013,3924.169092249718,0.5590830694086382,0.44383939488046237,1.8183080416811064,0.19940011431643145,0.26696959115236535,1.9606674489186713,0.007733648434250669,849878.8666061137,0.06519836466802502,290.9550804708189,34.43113176513595,29.158112919930552,29.85459080272514,0.0007546396026312731,36.41668397478416,310952.4140617171,164412.7385804612,1.7778919916311509,461308.91835675517,41921.67927001126,26085.54570755522,10484.267496073113,36521.82947629136,0.11215034609274109,0.3010162270880673,36207.420385106496,76062.86647232002,5.975548653138725,0.030717890722299634,0.0007086628680605673,0.012980834112707342,0.08471261452929593,1.9109292680945003,194130.32048229748,439352.1013362332,103543.6586514066,134298.2375562586,0.19067971580957035,271.9974872729788,0.8055946684010854,0.4177922642841938,0.034895318388431074,16122028.247065565,0.05955243076035577
8,3773771.8569387733,3673943.2208813317,-136539.91593975556,-2800370.309177099,4366521.824789649,83,999,99,92130.0,80220.0,361598.9971968945,0.5560197272991007,124.77260554747296,1.0,False,0.0,8.934644461707995,0.6753143841692304,7.019319729973864,65.89888637536026,98.3899104829774,18.189761023063653,64.55138734814211,58.34206354912018,7.9512836292720435,0.6144062332188096,0.6274191683501825,0.3327301757053984,0.8888166074260873,0.07884425201070526,0.09244249317088363,2.07438975571545,0.9764927852785312,1.0826378503588154,1.5689987788489272,0.5711804604324628,0.1912398094927089,4.428173564064892,0.3256418919616383,0.04816770514746201,0.08041986467440534,0.5787578551049344,0.28300992491749344,0.15380840785022803,0.03327393520450874,254.31763078732283,1011.6549109861651,2282.822885015264,3921.3601084712373,0.6268363684224018,0.34634091514405735,1.9807912015702913,0.19058377223580006,0.2761604857763591,2.5665634087446145,0.006784328616765606,655465.1338064113,0.051441844484842444,436.3973796251853,30.193479736409007,25.58970867008354,33.35202572604526,0.0013495456010931752,23.663343546973834,342605.94760780426,152872.662994619,1.814515048409516,744428.7920759585,38116.69569123775,23591.848937625677,8737.455257893389,51512.49604396598,0.1292176836401795,0.2645478540020778,44077.714149412626,48383.34500133078,3.001732746219421,0.02722493964767576,0.0011625866621174314,0.011970912752958193,0.09336236703872358,2.4416715177860544,114477.32512720634,489441.98175042664,178103.29850490694,110379.37416603886,0.18965668269936065,290.8975875666615,0.9299184868037688,0.30067897602926186,0.032185406009520356,14714593.248142874,0.05790284856766881
9,4607280.081973138,2922962.809986944,678931.2537594133,-241248.09772579616,3114143.7366069034,61,999,99,88570.0,73570.0,282184.003288844,0.5383002343653632,165.62640200352487,9.0,False,0.0,15.174175850054349,0.6697314126726246,4.941447099116558,106.83242088814063,64.05951023831832,11.79099329573089,48.490262587075826,51.29896754840981,12.692710319215674,0.737889988647755,0.6299998269954588,0.30742172226642384,1.011857169346812,0.04131320891074178,0.04424411200925972,2.075903592291745,1.0979344117567758,0.8783087707466082,1.7611182846933666,0.5090963654552215,0.11985669133011062,5.029126735140826,0.3271839944319853,0.07317481247839813,0.14287513846878924,0.661239027380246,0.20758957280380277,0.11488379000577997,0.039312861489769854,260.1211694537289,988.5951983761215,2345.12441945663,3825.9798186196417,0.4859436284584704,0.35422098956998527,1.6866323523283002,0.18169349400763668,0.2870400713450311,2.118664221628931,0.0065014409117360745,783386.4970399849,0.08289858281123463,443.2498377242016,34.672196829925724,24.439979877299244,28.914732067388428,0.001086195939827342,31.266091005935785,289083.4557057427,157197.48945085693,1.723185316194601,535090.7397434383,52340.782780199006,36538.68066743323,11515.5106416995,35789.574389982394,0.11691014138918628,0.29486571187467836,48829.25725859044,37815.500159479096,4.9887354501387815,0.04145027442812442,0.0008987470490874527,0.013322483075260502,0.122663478806653,2.3848006128451646,118494.27197008356,307899.2969078382,205345.97403451393,149118.59861727717,0.2599200907703847,278.07178597250885,0.8908242326494925,0.3616615986969063,0.032854707105120395,28785367.135490585,0.05974175751215505
