month,sourced,aggressive,conservative
0,1.0,1.0,1.0
1,0.9191299999999999,0.94214,0.89924
2,0.85264839,0.8938968199999998,0.81720448
3,0.7975217185099999,0.8532917541799998,0.7498245504800001
4,0.7513698472459499,0.8187624887920999,0.693938480734
5,0.7123248875789047,0.7890752705985894,0.6470886470235969
6,0.6789206052144678,0.7632556070622748,0.6073639587551407
7,0.6500057120097308,0.7405335881085291,0.573277575815588
8,0.624675885349561,0.7203007443261031,0.5436720120516488
9,0.6022204699716158,0.702076007436272,0.5176454905923238
10,0.5820806908720445,0.6854788524693427,0.49449479079047604
11,0.5638168909380697,0.6702081063254287,0.4736708928420116
12,0.5470828440048318,0.6560252271290867,0.4547445535770814
13,0.5343558065367504,0.6448188560983965,0.4402976346280869
14,0.5219496023461755,0.6338375806876365,0.4263370120401878
15,0.5098553744279245,0.6230761097351298,0.4128452723095695
16,0.49806453455011035,0.612529293730565,0.39980566530857736
17,0.48656875433433466,0.6021921206322701,0.38720207750095703
18,0.47535995665567726,0.592059711817292,0.37501900629598817
19,0.4644303073502851,0.5821273181598206,0.36324153549089494
20,0.4537722072188503,0.5723903162336595,0.3518553117532545
21,0.44337828431472975,0.5628442046345954,0.34084652209734295
22,0.4332413865059155,0.5534846004186563,0.33020187231047954
23,0.4233545743004875,0.5443072356524014,0.3199085662874446
24,0.4137111139255967,0.5353079540715054,0.30995428623296906
25,0.40430447065042013,0.5264827078440433,0.30032717369412437
26,0.39512830234390944,0.5178275544349964,0.291015811386185
27,0.38617645325851596,0.5093386535686292,0.28200920577719785
28,0.37744294803142525,0.5010122642854956,0.27329677039807754
29,0.3689219858951673,0.4928447420909531,0.26486830984655474
30,0.36060793508979,0.48483253619216354,0.256714004454742
31,0.35249532746908785,0.4769721868206704,0.248824395591455
32,0.344578853293677,0.46926032263773726,0.24119037157173195
33,0.33685335620398493,0.46169365821973407,0.23380315414723796
34,0.3293138283665004,0.45426899162094714,0.22665428555243208
35,0.32195540578688253,0.44698320201128067,0.21973561608250283
36,0.31477336378378307,0.43983324738640617,0.2130392921801592
37,0.30776311261747186,0.4328161623479947,0.20655774500939283
38,0.30092019326758657,0.4259290559517555,0.20028367949530682
39,0.29424027335454683,0.41916910962107384,0.19421006381004385
40,0.2877191431993861,0.41253357512412286,0.1883301192857375
41,0.28135271201695555,0.406019772612394,0.18263731073626135
42,0.27513700423764975,0.39962508871865865,0.17712533717036252
43,0.2690681559529918,0.3933469747124455,0.17178812287954062
44,0.2631424114805915,0.38718294471117953,0.16661980888477088
45,0.2573561200441668,0.38113057394519156,0.1616147447268746
46,0.25170573256448064,0.37518749707487065,0.15676748058601347
47,0.2461877985572036,0.36935140655828685,0.15207275971642423
48,0.24079896313386862,0.3636200510676696,0.14752551118312204
49,0.23553596410222524,0.35799123395318166,0.14312084288788632
50,0.23039562916244558,0.35246281175248023,0.13885403487239825
51,0.22537487319576538,0.34703269274460713,0.13472053288693228
52,0.2204706956422755,0.34169883554680214,0.13071594221351074
53,0.2156801779647016,0.33645924775287417,0.12683602173291597
54,0.21100048119513015,0.33131198461181727,0.12307667822541614
55,0.20642884356175303,0.32625514774539904,0.11943396089550354
56,0.20196257819281274,0.3212868839034902,0.1159040561113644
57,0.19759907089503648,0.3164053837559489,0.11248328235020294
58,0.19333577800394836,0.31160888071990855,0.10916808534092674
59,0.18917022430354757,0.3068956498213592,0.10595503339606656
60,0.18510000101293175,0.302264006589948,0.10284081292515537
61,0.18112276383753792,0.2977123059859595,0.09982222412212613
62,0.177236231082757,0.29323894135847167,0.09689617681960673
63,0.17343818182776277,0.288842343433716,0.09405968650329734
64,0.1697264541574758,0.28452097933270276,0.09130987047990619
65,0.16609894345065837,0.2802733516172024,0.08864394419239925
66,0.16255360072221206,0.2760979973632039,0.08605921767658567
67,0.15908843101781908,0.2719934872610016,0.08355309215331495
68,0.1557014918591373,0.26795842474108705,0.08112305675080589
69,0.15239089173782425,0.2639914451250504,0.07876668535185904
70,0.1491547886567284,0.2600912148007238,0.07648163356092723
71,0.14599138871664666,0.2562564304208196,0.07426563578623056
