year,new_accounts,contributing,reduced,lapsed_holding,dormant,closed,holding,live_accounts,tier_none,tier_silver,tier_gold,tier_platinum,tier_sovereign,inflow_sip,inflow_spot,aum_usd,grams,bar_grams,fab_premium,gross_entry_fee,cost_of_revenue,gross_profit,cor_pricegap,cor_premium,rail_passthrough_usd,floatcoc_memo,float_interest_expense,stream1_net,operating_cost,stream1_sip,stream1_spot,stream2,stream2_gross,stream3,stream4,stream5,stream6,revenue,cost_opex,cost_acquisition,cost_vault,cost_rewards,cost_card_fixed,cost_card_variable,cost_screening,cost_redemption,cost_oneoff,cost_family,cost_vat,total_cost,ebitda,tax,net_profit,active_cards,card_spend,partner_aum
1,689.1491904217932,509.8353570409114,2.7176347903896327,176.59619859049207,0.0,0.0,689.149190421793,512.552991831301,379.5153578023512,133.03763402894984,0.0,0.0,0.0,124552.83482687305,70940.6859182227,171960.82097783653,1215.6144562267532,100,0.015,9672.04209167534,6240.658233747803,5236.624208286602,3536.5,2704.158233747803,880.4531165411158,2297.3104,0.0,3431.3838579275375,1381720.7450117278,2133.8088403683623,1297.5750175591747,0.0,0.0,1805.2403503590663,0.0,0.0,0.0,11477.282442034406,1031943.24554922,71807.469,9000.0,0.0,0.0,0.0,3715.814149991558,0.16461123211495038,264880.0,65.85230996743161,308.1993913166115,1387961.4032454756,-1376484.1208034412,0.0,-1376484.1208034412,0.0,0.0,0.0
2,2058.265515438635,1852.6144815830633,15.177031181042691,765.1798736029114,114.44331949341097,0.0,2747.414705860428,1867.7915127641058,1169.8293015944028,488.08622730980244,209.87598385990066,0.0,0.0,498839.59992482606,332412.72678015876,847650.2450347197,5992.154991055561,100,0.015,40309.46919599367,14968.571144536314,51858.413394187424,3536.5,11432.071144536314,3916.3946966968947,2419.1258875349827,0.0,25340.898051457338,1604751.089853141,15200.427272974779,10140.470778482559,7263.347099934654,16770.69358090326,7794.295960237649,7906.203334234799,7.002281656304092,3546.6666666666674,66826.98453872374,1193323.931598997,203986.21153119436,9000.0,0.0,188000.0,4224.666131731955,4592.544984881644,260.8176495319508,0.0,291.56839791286495,1071.349558891265,1619719.6609976771,-1552892.6764589534,0.0,-1552892.6764589534,136.41938950893544,931705.19893907,7093333.333333334
3,4165.1494437549245,4320.723759360459,46.26455129695443,1900.0587475990676,645.517091358872,0.0,6912.564149615353,4366.988310657413,2434.3300234910043,1108.6225910172984,824.0356961491103,0.0,0.0,1234202.514758007,900461.4949086445,2476827.391573754,17509.030054953724,100,0.015,80660.58272201463,33962.89335173482,251430.8496388857,3536.5,30426.39335173482,10076.369379590738,3932.4675388430596,0.0,46697.689370279826,2113508.2014392023,26998.17769179132,19699.511678488507,54232.069490459246,98951.20032667836,19623.334195046766,44732.84554449001,224.9110386098761,85920.0,285393.74299062055,1481845.6568482325,397442.1953131056,9000.0,5576.736445870705,180000.0,25421.00374644279,9481.41842442754,2170.344930091355,0.0,747.801483768428,1823.0442472634006,2147471.094790937,-1862077.3518003165,0.0,-1862077.3518003165,535.6232024969217,5497288.907037687,21840000.0
4,6126.530119505713,7477.924584656695,102.13447629618108,3453.7844063636962,2005.2508018044932,0.0,13039.094269121066,7580.059060952875,3701.9701042023607,1854.1729811599087,1889.964818494485,133.9511570961224,0.0,2296427.4601488113,1828099.631627608,5357566.171587306,37873.36470795494,100,0.015,153059.47827992943,62612.90385014416,615363.7787263113,3536.5,59076.40385014417,19059.00816151194,6328.3749156689855,0.0,90446.57442978522,2577854.3057550243,50361.65740598021,40084.917023805014,168221.68717201895,278120.28792636894,36317.10953125907,122202.71735648737,735.6902367606396,197440.0,677976.6825764554,1690769.1342585115,572958.1205215623,10365.507171874591,26212.69440348142,180000.0,71939.80878590418,14984.087730290616,6061.716306450035,0.0,1409.9520202493218,3153.2845567001705,2640467.209605168,-1962490.527028713,0.0,-1962490.527028713,1315.5453841338947,15451127.107020497,43653333.333333336
5,8049.912152838755,11139.215925492552,183.74540227536298,5221.397303622204,4544.647790569701,0.0,21089.00642195982,11322.961327767915,4970.333470212319,2648.366222808155,3182.883057309847,521.3785774375924,0.0,3593691.647872055,3086880.8403177196,9588614.723437678,67783.22298485563,100,0.015,243893.67105982368,99508.0870677514,1138554.8593778652,3536.5,95971.5870677514,30046.72971071755,9254.426361311413,0.0,144385.5839920721,3173617.205886491,77675.18587099153,66710.39812108058,348286.5645863626,573564.4537923853,56088.33665936276,243053.54890303826,1700.8252370293712,345040.0,1238062.9464456167,1954549.7818790155,767076.6888287996,18862.12821541852,62548.86428490028,180000.0,149793.4337625243,21120.20964483072,12681.380795563682,0.0,2216.3642315008137,4768.354243937564,3273125.2929542423,-2035062.3465086257,0.0,-2035062.3465086257,2407.7700625858356,31864691.87735474,70453333.33333333
6,9706.885197187396,14992.11477389353,288.6306626343743,7058.8596468911865,8456.286535728124,0.0,30795.891619147216,15280.745436527905,6100.294253445256,3410.324007928343,4500.019698163353,1220.471354569025,49.63612242193221,5027913.893577371,4632712.19741719,15135084.172339363,106991.97067962225,100,0.015,299222.5470653893,143344.69662085644,1747693.606685863,3536.5,139808.1966208564,42230.15315689578,12489.394315513402,0.0,155877.85044453305,3876354.5143157677,81135.34465336357,74742.50579116946,593417.2740276373,972977.6568848451,77301.60899809356,396518.684079149,3138.18913645058,521440.0,1891038.3033067198,2259853.9913638467,967119.4653039819,31257.18037913407,122553.28239631662,180000.0,257118.24841968968,27409.11999248589,22322.05475680917,0.0,3106.2369127787756,5614.9347907249,4019699.210936624,-2128660.9076299043,0.0,-2128660.9076299043,3750.5826638503017,54054314.27138029,102053333.33333333
7,10955.138845335518,18713.24953103162,411.0979482736897,8802.216691831487,13824.46629334594,0.0,41751.03046448274,19124.34747930531,6991.658192916782,4057.9388837458287,5780.3611842650025,2067.406082568552,226.9831358091464,6479233.368905418,6386328.219587363,21708490.8113782,153460.27719057119,1000,0.0095,392029.80995925027,152276.5713577457,2523756.523086179,35365.0,116911.5713577457,54611.402088769515,25959.38979091116,0.0,239753.23860150468,4666654.530512026,120751.39820032021,119001.84040118447,895580.8397840742,1461770.412611306,98022.11873236657,571955.4976505829,5004.828317650795,713440.0,2676033.0944439247,2589466.073262038,1169505.7406979827,46582.88521466771,210913.31794987354,180000.0,392672.74737244577,33463.36014581118,32965.0628559574,0.0,4005.3076198809267,7080.035393368579,4818931.101869771,-2142898.007425847,0.0,-2142898.007425847,5248.587761717756,81209467.36729479,134053333.33333333
