year,new_accounts,contributing,reduced,lapsed_holding,dormant,closed,holding,live_accounts,tier_none,tier_silver,tier_gold,tier_platinum,tier_sovereign,inflow_sip,inflow_spot,aum_usd,grams,bar_grams,fab_premium,gross_entry_fee,cost_of_revenue,gross_profit,cor_pricegap,cor_premium,rail_passthrough_usd,floatcoc_memo,float_interest_expense,stream1_net,operating_cost,stream1_sip,stream1_spot,stream2,stream2_gross,stream3,stream4,stream5,stream6,revenue,cost_opex,cost_acquisition,cost_vault,cost_rewards,cost_card_fixed,cost_card_variable,cost_screening,cost_redemption,cost_oneoff,cost_family,cost_vat,total_cost,ebitda,tax,net_profit,active_cards,card_spend,partner_aum
1,689.1491904217932,509.8353570409114,2.7176347903896327,176.59619859049207,0.0,0.0,689.149190421793,512.552991831301,379.5153578023512,133.03763402894984,0.0,0.0,0.0,124552.83482687305,70940.6859182227,171960.82097783653,1215.6144562267532,100,0.0414,9672.04209167534,10999.976725143937,477.3057168904692,3536.5,7463.476725143936,880.4531165411158,2357.0631040000003,0.0,-1327.934633468596,1381720.7450117278,-899.8934489411049,-428.04118452749117,0.0,0.0,1805.2403503590663,0.0,0.0,0.0,11477.282442034406,1031943.24554922,71807.469,9000.0,0.0,0.0,0.0,3715.814149991558,0.16461123211495038,264880.0,65.85230996743161,308.1993913166115,1392720.7217368716,-1381243.4392948372,0.0,-1381243.4392948372,0.0,0.0,0.0
2,2058.265515438635,1852.6144815830633,15.177031181042691,765.1798736029114,114.44331949341097,0.0,2747.414705860428,1867.7915127641058,1169.8293015944028,488.08622730980244,209.87598385990066,0.0,0.0,498839.59992482606,332412.72678015876,847650.2450347197,5992.154991055561,100,0.0414,40309.46919599367,35089.01635892023,32379.66776402854,3536.5,31552.516358920228,3916.3946966968947,2482.046994363479,0.0,5220.452837073423,1604930.5367057673,3128.629056145152,2091.823780928272,7575.576231470841,17491.6145309804,7794.295960237649,8235.673786923642,7.002281656304092,3546.6666666666674,67468.68412294878,1193323.931598997,203986.21153119436,9000.0,0.0,188000.0,4404.112984358211,4592.544984881644,260.8176495319508,0.0,291.56839791286495,1071.349558891265,1640019.5530646874,-1572550.8689417387,0.0,-1572550.8689417387,143.63841746043326,971756.3628322447,7093333.333333334
3,4165.1494437549245,4320.723759360459,46.26455129695443,1900.0587475990676,645.517091358872,0.0,6912.564149615353,4366.988310657413,2434.3300234910043,1108.6225910172984,824.0356961491103,0.0,0.0,1234202.514758007,900461.4949086445,2476827.391573754,17509.030054953724,100,0.0414,80660.58272201463,87513.3456507881,206704.524526812,3536.5,83976.8456507881,10076.369379590738,4034.7504383755304,0.0,-6852.762928773459,2116268.871583727,-3961.7399216216777,-2891.0230071517817,59110.454531931915,107622.7677097053,19623.334195046766,48678.5876899969,224.9110386098761,85920.0,294217.87017760007,1481845.6568482325,397442.1953131056,9000.0,6127.1041127716935,180000.0,27631.306224066648,9481.41842442754,2170.344930091355,0.0,747.801483768428,1823.0442472634006,2203782.217234515,-1909564.347056915,0.0,-1909564.347056915,594.5384068493042,5979042.650539184,21840000.0
4,6126.530119505713,7477.924584656695,102.13447629618108,3453.7844063636962,2005.2508018044932,0.0,13039.094269121066,7580.059060952875,3701.9701042023607,1854.1729811599087,1889.964818494485,133.9511570961224,0.0,2296427.4601488113,1828099.631627608,5357566.171587306,37873.36470795494,100,0.0414,153059.47827992943,166587.3746263979,557781.1172744611,3536.5,163050.8746263979,19059.00816151194,6492.975011997717,0.0,-13527.896346468508,2593459.5390749834,-7527.249910602659,-6000.646435865849,195019.17054913094,322416.04360194784,36317.10953125907,141797.04330377886,735.6902367606396,197440.0,724368.4919008589,1690769.1342585115,572958.1205215623,10365.507171874591,30419.24397909027,180000.0,83338.49253025449,14984.087730290616,6061.716306450035,0.0,1409.9520202493218,3153.2845567001705,2760046.913701381,-2035678.4218005224,0.0,-2035678.4218005224,1568.5153894595,17912002.422330435,43653333.333333336
5,8049.912152838755,11139.215925492552,183.74540227536298,5221.397303622204,4544.647790569701,0.0,21089.00642195982,11322.961327767915,4970.333470212319,2648.366222808155,3182.883057309847,521.3785774375924,0.0,3593691.647872055,3086880.8403177196,9588614.723437678,67783.22298485563,100,0.0414,243893.67105982368,268418.08030699386,1114734.74024903,3536.5,264881.58030699386,30046.72971071755,9495.132623319907,0.0,-24524.409247170355,3225527.02973772,-13185.676212295915,-11338.73303487444,433516.28663868824,713903.672180899,56088.33665936276,302913.70096111996,1700.8252370293712,345040.0,1383152.820556024,1954549.7818790155,767076.6888287996,18862.12821541852,77923.49081155249,180000.0,186328.6310871005,21120.20964483072,12681.380795563682,0.0,2216.3642315008137,4768.354243937564,3493945.1100447136,-2110792.2894886895,0.0,-2110792.2894886895,3087.154103930857,39661315.12116106,70453333.33333333
6,9706.885197187396,14992.11477389353,288.6306626343743,7058.8596468911865,8456.286535728124,0.0,30795.891619147216,15280.745436527905,6100.294253445256,3410.324007928343,4500.019698163353,1220.471354569025,49.63612242193221,5027913.893577371,4632712.19741719,15135084.172339363,106991.97067962225,1000,0.0337,299222.5470653893,347633.91439975624,1881308.9277361627,32712.625,314921.28939975624,42230.15315689578,22711.08441676431,0.0,-48411.3673343668,4003687.2523181825,-25192.464437104918,-23218.90289726188,795502.7838017789,1304279.522389808,77301.60899809356,532337.7131342067,3138.18913645058,521440.0,2228942.8421359193,2259853.9913638467,967119.4653039819,31257.18037913407,164442.9642452116,180000.0,344471.0145732093,27409.11999248589,20412.344756809172,0.0,3106.2369127787756,5614.9347907249,4351321.166717938,-2122378.3245820194,0.0,-2122378.3245820194,5188.556278552212,72459973.46610045,102053333.33333333
7,10955.138845335518,18713.24953103162,411.0979482736897,8802.216691831487,13824.46629334594,0.0,41751.03046448274,19124.34747930531,6991.658192916782,4057.9388837458287,5780.3611842650025,2067.406082568552,226.9831358091464,6479233.368905418,6386328.219587363,21708490.8113782,153460.27719057119,1000,0.0337,392029.80995925027,454383.89809010853,2883447.225025507,35365.0,419018.8980901085,54611.402088769515,26581.695123194517,0.0,-62354.08813085809,4940095.137126422,-31402.6726105693,-30951.415520288785,1298580.6328744001,2119483.0613912907,98022.11873236657,830753.733231948,5004.828317650795,713440.0,3337831.123115616,2589466.073262038,1169505.7406979827,46582.88521466771,306078.978979486,180000.0,569037.9829572287,33463.36014581118,34874.7728559574,0.0,4005.3076198809267,7080.035393368579,5394479.03521653,-2056647.912100914,0.0,-2056647.912100914,7870.506397472113,117749058.96618283,134053333.33333333
