REDEEMED_GOLD_TO_FLOAT,routing,mean_net_new_gram_share_final_year,terminal_year_gross_profit,cumulative_premium_cost,cumulative_redemption_cost,cumulative_net_profit,peak_funding
True,"float, excess sold at bid",0.9852982414170044,3185554.5517578702,456330.38162651664,76461.54190563572,-12331144.378734045,13082257.883741606
False,all to dealer,1.0,3183967.571219547,460503.3179610085,81553.25644652493,-12340409.029609425,13091522.534616984
