year,new_accounts,contributing,reduced,lapsed_holding,dormant,closed,holding,live_accounts,tier_none,tier_silver,tier_gold,tier_platinum,tier_sovereign,inflow_sip,inflow_spot,aum_usd,grams,bar_grams,fab_premium,gross_entry_fee,cost_of_revenue,gross_profit,cor_pricegap,cor_premium,rail_passthrough_usd,floatcoc_memo,float_interest_expense,stream1_net,operating_cost,stream1_sip,stream1_spot,stream2,stream2_gross,stream3,stream4,stream5,stream6,revenue,cost_opex,cost_acquisition,cost_vault,cost_rewards,cost_card_fixed,cost_card_variable,cost_screening,cost_redemption,cost_oneoff,cost_family,cost_vat,total_cost,ebitda,tax,net_profit,active_cards,card_spend,partner_aum
1,689.1491904217932,509.8353570409114,2.7176347903896327,176.59619859049207,0.0,0.0,689.149190421793,512.552991831301,379.5153578023512,133.03763402894984,0.0,0.0,0.0,124552.83482687305,70940.6859182227,171960.82097783653,1215.6144562267532,100,0.015,9672.04209167534,6240.658233747803,5236.624208286602,3536.5,2704.158233747803,880.4531165411158,2297.3104,2297.3104,3431.3838579275375,1381720.7450117278,2133.8088403683623,1297.5750175591747,0.0,0.0,1805.2403503590663,0.0,0.0,0.0,11477.282442034406,1031943.24554922,71807.469,9000.0,0.0,0.0,0.0,3715.814149991558,0.16461123211495038,264880.0,65.85230996743161,308.1993913166115,1387961.4032454756,-1376484.1208034412,0.0,-1378781.4312034412,0.0,0.0,0.0
2,2058.265515438635,1852.6144815830633,15.177031181042691,765.1798736029114,114.44331949341097,0.0,2747.414705860428,1867.7915127641058,1169.8293015944028,488.08622730980244,209.87598385990066,0.0,0.0,498839.59992482606,332412.72678015876,847650.2450347197,5992.154991055561,100,0.015,40309.46919599367,14968.571144536314,52500.11297841246,3536.5,11432.071144536314,3916.3946966968947,2419.1258875349827,2419.1258875349827,25340.898051457338,1604930.5367057673,15200.427272974779,10140.470778482559,7575.576231470841,17491.6145309804,7794.295960237649,8235.673786923642,7.002281656304092,3546.6666666666674,67468.68412294878,1193323.931598997,203986.21153119436,9000.0,0.0,188000.0,4404.112984358211,4592.544984881644,260.8176495319508,0.0,291.56839791286495,1071.349558891265,1619899.1078503034,-1552430.4237273547,0.0,-1554849.5496148895,143.63841746043326,971756.3628322447,7093333.333333334
3,4165.1494437549245,4320.723759360459,46.26455129695443,1900.0587475990676,645.517091358872,0.0,6912.564149615353,4366.988310657413,2434.3300234910043,1108.6225910172984,824.0356961491103,0.0,0.0,1234202.514758007,900461.4949086445,2476827.391573754,17509.030054953724,100,0.015,80660.58272201463,33962.89335173482,260254.97682586528,3536.5,30426.39335173482,10076.369379590738,3932.4675388430596,3932.4675388430596,46697.689370279826,2116268.871583727,26998.17769179132,19699.511678488507,59110.454531931915,107622.7677097053,19623.334195046766,48678.5876899969,224.9110386098761,85920.0,294217.87017760007,1481845.6568482325,397442.1953131056,9000.0,6127.1041127716935,180000.0,27631.306224066648,9481.41842442754,2170.344930091355,0.0,747.801483768428,1823.0442472634006,2150231.764935462,-1856013.8947578617,0.0,-1859946.362296705,594.5384068493042,5979042.650539184,21840000.0
4,6126.530119505713,7477.924584656695,102.13447629618108,3453.7844063636962,2005.2508018044932,0.0,13039.094269121066,7580.059060952875,3701.9701042023607,1854.1729811599087,1889.964818494485,133.9511570961224,0.0,2296427.4601488113,1828099.631627608,5357566.171587306,37873.36470795494,100,0.015,153059.47827992943,62612.90385014416,661755.5880507148,3536.5,59076.40385014417,19059.00816151194,6328.3749156689855,6328.3749156689855,90446.57442978522,2593459.5390749834,50361.65740598021,40084.917023805014,195019.17054913094,322416.04360194784,36317.10953125907,141797.04330377886,735.6902367606396,197440.0,724368.4919008589,1690769.1342585115,572958.1205215623,10365.507171874591,30419.24397909027,180000.0,83338.49253025449,14984.087730290616,6061.716306450035,0.0,1409.9520202493218,3153.2845567001705,2656072.442925127,-1931703.9510242685,0.0,-1938032.3259399375,1568.5153894595,17912002.422330435,43653333.333333336
5,8049.912152838755,11139.215925492552,183.74540227536298,5221.397303622204,4544.647790569701,0.0,21089.00642195982,11322.961327767915,4970.333470212319,2648.366222808155,3182.883057309847,521.3785774375924,0.0,3593691.647872055,3086880.8403177196,9588614.723437678,67783.22298485563,100,0.015,243893.67105982368,99508.0870677514,1283644.7334882726,3536.5,95971.5870677514,30046.72971071755,9254.426361311413,9254.426361311413,144385.5839920721,3225527.02973772,77675.18587099153,66710.39812108058,433516.28663868824,713903.672180899,56088.33665936276,302913.70096111996,1700.8252370293712,345040.0,1383152.820556024,1954549.7818790155,767076.6888287996,18862.12821541852,77923.49081155249,180000.0,186328.6310871005,21120.20964483072,12681.380795563682,0.0,2216.3642315008137,4768.354243937564,3325035.116805471,-1941882.296249447,0.0,-1951136.7226107584,3087.154103930857,39661315.12116106,70453333.33333333
6,9706.885197187396,14992.11477389353,288.6306626343743,7058.8596468911865,8456.286535728124,0.0,30795.891619147216,15280.745436527905,6100.294253445256,3410.324007928343,4500.019698163353,1220.471354569025,49.63612242193221,5027913.893577371,4632712.19741719,15135084.172339363,106991.97067962225,100,0.015,299222.5470653893,143344.69662085644,2085598.1455150626,3536.5,139808.1966208564,42230.15315689578,12489.394315513402,12489.394315513402,155877.85044453305,4005596.962318182,81135.34465336357,74742.50579116946,795502.7838017789,1304279.522389808,77301.60899809356,532337.7131342067,3138.18913645058,521440.0,2228942.8421359193,2259853.9913638467,967119.4653039819,31257.18037913407,164442.9642452116,180000.0,344471.0145732093,27409.11999248589,22322.05475680917,0.0,3106.2369127787756,5614.9347907249,4148941.6589390384,-1919998.8168031196,0.0,-1932488.211118633,5188.556278552212,72459973.46610045,102053333.33333333
7,10955.138845335518,18713.24953103162,411.0979482736897,8802.216691831487,13824.46629334594,0.0,41751.03046448274,19124.34747930531,6991.658192916782,4057.9388837458287,5780.3611842650025,2067.406082568552,226.9831358091464,6479233.368905418,6386328.219587363,21708490.8113782,153460.27719057119,1000,0.0095,392029.80995925027,152276.5713577457,3185554.5517578702,35365.0,116911.5713577457,54611.402088769515,25959.38979091116,25959.38979091116,239753.23860150468,4938185.427126422,120751.39820032021,119001.84040118447,1298580.6328744001,2119483.0613912907,98022.11873236657,830753.733231948,5004.828317650795,713440.0,3337831.123115616,2589466.073262038,1169505.7406979827,46582.88521466771,306078.978979486,180000.0,569037.9829572287,33463.36014581118,32965.0628559574,0.0,4005.3076198809267,7080.035393368579,5090461.998484167,-1752630.8753685514,0.0,-1778590.2651594623,7870.506397472113,117749058.96618283,134053333.33333333
